<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
18/09/18,110380.0,110400.0,110360.0,110360.0
18/09/18,110370.0,110370.0,110340.0,110370.0
18/09/18,110370.0,110370.0,110340.0,110340.0
18/09/18,110330.0,110360.0,110300.0,110310.0
18/09/18,110310.0,110330.0,110300.0,110320.0
18/09/18,110330.0,110330.0,110250.0,110260.0
18/09/18,110250.0,110280.0,110250.0,110270.0
18/09/18,110280.0,110330.0,110270.0,110320.0
18/09/18,110320.0,110340.0,110310.0,110330.0
18/09/18,110340.0,110360.0,110320.0,110350.0
18/09/18,110350.0,110370.0,110350.0,110360.0
18/09/18,110370.0,110460.0,110370.0,110440.0
18/09/18,110440.0,110460.0,110440.0,110450.0
18/09/18,110450.0,110490.0,110450.0,110460.0
18/09/18,110450.0,110480.0,110450.0,110480.0
18/09/18,110490.0,110510.0,110480.0,110510.0
18/09/18,110500.0,110520.0,110500.0,110520.0
18/09/18,110510.0,110510.0,110480.0,110480.0
18/09/18,110480.0,110490.0,110440.0,110490.0
18/09/18,110460.0,110460.0,110450.0,110450.0
18/09/18,110450.0,110480.0,110450.0,110480.0
18/09/18,110480.0,110490.0,110460.0,110490.0
18/09/18,110490.0,110490.0,110440.0,110450.0
18/09/18,110460.0,110500.0,110460.0,110500.0
18/09/18,110500.0,110500.0,110460.0,110490.0
18/09/18,110490.0,110490.0,110460.0,110480.0
18/09/18,110480.0,110500.0,110430.0,110430.0
18/09/18,110440.0,110440.0,110350.0,110390.0
18/09/18,110400.0,110400.0,110320.0,110370.0
18/09/18,110330.0,110470.0,110320.0,110390.0
18/09/18,110410.0,110440.0,110400.0,110430.0
18/09/18,110420.0,110480.0,110390.0,110480.0
18/09/18,110470.0,110500.0,110440.0,110490.0
18/09/18,110490.0,110520.0,110410.0,110410.0
18/09/18,110430.0,110430.0,110390.0,110390.0
18/09/18,110410.0,110460.0,110410.0,110410.0
18/09/18,110410.0,110420.0,110380.0,110420.0
18/09/18,110410.0,110430.0,110400.0,110420.0
18/09/18,110400.0,110440.0,110400.0,110430.0
18/09/18,110430.0,110490.0,110400.0,110420.0
18/09/18,110430.0,110440.0,110300.0,110420.0
18/09/18,110510.0,110600.0,110500.0,110570.0
18/09/18,110560.0,110610.0,110560.0,110590.0
18/09/18,110600.0,110600.0,110530.0,110540.0
18/09/18,110500.0,110500.0,110470.0,110480.0
18/09/18,110470.0,110470.0,110430.0,110440.0
18/09/18,110440.0,110460.0,110440.0,110460.0
18/09/18,110460.0,110460.0,110430.0,110430.0
18/09/18,110460.0,110460.0,110400.0,110430.0
18/09/18,110420.0,110440.0,110380.0,110380.0
18/09/18,110380.0,110410.0,110350.0,110360.0
18/09/18,110360.0,110360.0,110350.0,110350.0
